filename,QuietMean,QuietStd,QuietVar,QuietMax,QuietMin,QuietHist,CrowdLvHuman
IMAG3158,35.004557885141296,397.99671935192976,158401.38861489872,18553,1,"[3205 1456  630  450  278  197  147   88   51   41   23   10    3    1    2
    0    0    0]",0
IMAG3154_1,24.43784471786169,401.73664487930984,161392.33183888468,23028,1,"[4827 1985  932  671  406  258  156   84   59   25   13    5    1    4    2
    0    0    0]",10
IMAG3139_1,26.187769947715388,302.63710646439853,91589.218209143699,15769,1,"[5013 1662  692  503  315  247  145  100   54   33   18    8    4    4    0
    0    0    0]",60
IMAG3137_1,31.718061674008812,392.21787094179012,153834.85828611074,22298,1,"[3767 1533  766  454  270  180  112   66   50   27   19    8    8    3    1
    0    0    0]",10
IMAG3145_1,45.399014778325125,738.58820312277714,545512.53379213263,30730,1,"[2792  990  440  280  193  155   76   67   35   21   14    4    2    1    5
    0    0    0]",70
IMAG3151,30.988567585743105,510.69165384119918,260805.9653030592,24226,1,"[4038 1536  651  439  272  200  144   70   32   31    9    1    7    2    3
    0    0    0]",10
IMAG3135,31.488314883148831,431.55062232259888,186235.93962702237,20508,1,"[3881 1433  634  485  325  210  126  100   62   35   12    8    2    2    2
    0    0    0]",10
IMAG3152,27.185840707964601,479.20931340407168,229641.56605320179,34778,1,"[4634 1742  787  492  299  197  148   83   44   16   14   12    4    1    1
    1    0    0]",10
IMAG3060_1,37.863599013968773,556.85811230241222,310090.95723700599,24912,1,"[3395 1104  514  356  251  172  126   67   39   30   18    5    3    3    2
    0    0    0]",60
IMAG3150_1,27.428571428571427,396.05379281446244,156858.60680272113,21642,1,"[4624 1723  737  466  286  209  149   97   48   29   17    8    3    3    1
    0    0    0]",10
IMAG3146,47.368421052631582,837.88188119311758,702046.0468317176,33825,1,"[2721  964  408  267  193  131   62   56   23   17    7    6    4    1    3
    1    0    0]",70
IMAG3055,35.787511649580615,537.15510363514409,288535.60536128242,26841,1,"[3776 1252  482  294  229  153  101   55   45   20   14    7    4    4    2
    0    0    0]",40
IMAG3142,28.681688036848001,332.63571552475059,110646.51924266282,15716,1,"[4531 1621  704  421  312  161  100   65   43   37   14   15    5    4    0
    0    0    0]",40
IMAG3141,30.687266915290358,345.67419968983654,119490.65233120897,11785,1,"[4172 1572  645  399  259  183  109   58   39   32   18    9    8    5    0
    0    0    0]",40
IMAG3156,31.471110504029504,592.53415886989706,351096.72942765639,40417,1,"[3916 1544  678  425  288  170  125   70   50   25   19    5    1    3    1
    1    0    0]",10
IMAG3136_1,25.152838427947597,329.72832306829213,108720.76703342803,18193,1,"[4893 1813  818  554  443  260  167   94   55   33   18    5    3    3    1
    0    0    0]",30
IMAG3053_1,26.418988648090814,415.3419722423244,172508.95390614378,30576,1,"[5142 1689  673  405  276  197  140   89   50   26   17    9    4    3    1
    0    0    0]",20
